Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991]
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Germany,DEU,3.7698628621708,3.73990627566646,4.49596722028329,4.89928397485692,4.38429971954757,4.09107245058985,3.90929683752777,4.07767629351234,3.40638728996724,3.39862289372987,3.0126306441914,3.06021356191657,3.16750756612331,3.15961733306638,3.26114133037708,3.28321616081458,3.13556659409079,3.03829371131303,3.04944455208258,2.9641823832573,2.96134975965833,3.0418796886871,3.03429562949999,3.0269739405214,2.92622466159061,2.86737948445472,2.79032856698511,2.77229902629809,2.64090993011822,2.53243053363675,2.51843270660831,1.99783498818879
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,France,FRA,5.42848588493053,5.29560753876716,5.15887134953187,4.74008571749863,4.54025026669875,4.39531951376613,4.29010327424386,4.29524594691896,4.13684603777682,3.67975172675766,3.45855771733226,3.31609304824223,3.23030459043129,3.14371920479698,3.08644058078624,3.1971454640285,3.15613958423347,3.23156861034418,3.15148731411781,3.13939544307514,3.15520508491915,3.24613261046416,3.2238391338373,3.23713177475225,3.18736925092314,3.14393280229726,3.08576501575346,3.12045160513517,2.96318060884889,2.8799353124635,2.80526762706676,2.81213643806721
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,United Kingdom,GBR,7.09248637082215,6.92138752285922,6.94416604105903,6.80074341068238,6.59605601313516,6.43697857340144,6.24903679676674,6.2357037120617,5.9411052003122,5.5021956389853,5.19741323809566,5.07633062254603,5.1710477559332,4.90616105746511,5.06942711490535,5.33960343915615,5.17550333681554,4.92327762103886,4.73304308586993,4.67975756747534,5.01990345888742,4.98376336921746,5.38132652115477,5.39688559001511,5.50807949805952,5.32070461905547,5.05982373679728,4.68666844260533,4.21428762838849,4.04095433156431,3.983217694585,4.11680242273171
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,United States,USA,8.99312458715278,9.15603150017123,9.33167294545842,8.83189118618018,8.0512811057284,7.58724717722602,8.43530028594507,9.41779593255137,9.26845427468793,8.63326379509104,8.03274358404085,6.94306960936061,6.51975692434716,5.8938705911674,5.95411119676015,5.62267909613336,5.19107142902555,5.15561735127125,4.94308724791688,4.95199153527265,5.15353746651636,5.64654125624258,6.81405709441284,6.32114425976717,6.23641652963897,6.4532192046686,6.62652265789842,6.42027402288488,6.0712777020948,5.87120600804653,5.60517529438794,4.88342939776313
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Japan,JPN,1.08059488934833,0.916660202208259,0.882981583852488,0.902911616201838,0.87504612187006,0.899713990141788,0.879421011265392,0.836230312650205,0.793866529243094,0.772551017292608,0.773230313218779,0.824119314063094,0.842475301533426,0.815014489146474,0.862068323351509,0.907387056975466,0.891651107922652,0.890681061512105,0.891286374043561,0.907392110929058,0.906794213450064,0.91664815297164,0.926375566882048,0.952297427190256,0.958404158758974,0.95939791396488,0.962811252055438,0.965510912838467,0.94970885873148,0.940781035886882,0.941791766132693,0.940821904384541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
